Cod Siruta,Localitate,Partid majoritar
23644,Negri,PSD
23715,Nicolae Balcescu,PNL
23797,Oituz,PNL
23868,Oncesti,PSD
23948,Orbeni,PSD
23975,Palanca,PSD
24034,Parava,PSD
24089,Parincea,PSD
24187,Pancesti,PSD
24276,Pargaresti,PSD
24338,Parjol,PNL
24427,Plopana,PSD
24524,Podu Turcului,PSD
24631,Poduri,PSD
24711,Racova,PNL
24766,Racaciuni,AUR
24837,Rachitoasa,PSD
24999,Rosiori,PSD
25068,Sascut,PSD
25148,Sanduleni,PSD
25228,Saucesti,PSD
25291,Scorteni,PSD
25362,Secuieni,PNL
25488,Solont,PSD
25521,Stanisesti,PSD
25629,Strugari,PSD
25692,Tamasi,PSD
25745,Tatarasti,PSD
25825,Targu Trotus,PSD
25861,Traian,PNL
25932,Ungureni,PSD
26029,Urechesti,PSD
26083,Valea Seaca,PSD
26118,Vultureni,PSD
26289,Zemes,PNL
26320,Sarata,PSD
26338,Buciumi,PSD
26346,Gioseni,PNL
26353,Odobesti,PSD
26361,Prajesti,PSD
26379,Itesti,PNL
26564,Municipiul Oradea,PNL
26582,Sanmartin,PNL
26653,Santandrei,PNL
26699,Oras Alesd,PNL
26742,Astileu,PNL
26804,Municipiul Beius,PNL
26840,Oras Stei,PNL
26877,Municipiul Marghita,UDMR
26920,Oras Nucet,PSD
26975,Municipiul Salonta,UDMR
27007,Oras Vascau,PNL
27070,Abram,PNL
27169,Abramut,UDMR
27212,Auseu,PNL
27285,Avram Iancu,PSD
27329,Balc,PNL
27383,Batar,PSD
27436,Biharia,UDMR
27506,Boianu Mare,PNL
27560,Borod,PSD
27631,Bors,UDMR
27686,Bratca,PNL
27757,Brusturi,PSD
27846,Budureasa,PSD
27908,Buduslau,UDMR
27935,Bulz,PNL
27971,Buntesti,PNL
28077,Cabesti,PSD
28139,Capalna,PSD
28193,Carpinet,PSD
28246,Cefa,PNL
28335,Ceica,PSD
28415,Cetariu,UDMR
28497,Cherechiu,UDMR
28530,Chislaz,UDMR
28610,Ciuhoi,UDMR
28665,Ciumeghiu,PNL
28709,Campani,PSD
28763,Cociuba Mare,PNL
28816,Copacel,PSD
28889,Cristioru De Jos,PNL
28941,Curatele,PNL
29001,Curtuiseni,UDMR
29038,Derna,PSD
29092,Diosig,UDMR
29154,Dobresti,PNL
29243,Draganesti,PNL
29341,Dragesti,PRO_ROMANIA
29403,Finis,UDMR
29467,Girisu De Cris,PNL
29519,Hidiselu De Sus,PNL
29573,Holod,PNL
29662,Husasau De Tinca,PSD
29724,Ineu,PSD
29760,Lazuri De Beius,PNL
29813,Lazareni,PNL
29902,Lugasu De Jos,UDMR
29948,Lunca,PNL
30014,Madaras,PNL
30069,Magesti,PNL
30149,Nojorid,PNL
30229,Olcea,PNL
30274,Osorhei,PNL
30336,Pietroasa,PSD
30416,Pocola,PSD
30470,Pomezeu,PSD
30568,Popesti,PNL
30648,Rabagani,PNL
30719,Remetea,PSD
30773,Rieni,PNL
30844,Rosia,PNL
30871,Sacadat,PNL
30915,Oras Sacueni,UDMR
30988,Salacea,UDMR
31011,Salard,UDMR
31057,Sambata,PSD
31128,Sarbi,PSD
31208,Spinus,PNL
31262,Suplacu De Barcau,PNL
31333,Simian,UDMR
31379,Sinteu,PNL
31422,Soimi,PNL
31510,Suncuius,PNL
31565,Tarcea,UDMR
31609,Tarcaia,UDMR
31654,Tauteu,UDMR
31716,Tileagd,PNL
31789,Tinca,PNL
31841,Tulca,PSD
31878,Tetchea,PSD
31921,Uileacu De Beius,PSD
31976,Vadu Crisului,PNL
32027,Oras Valea Lui Mihai,UDMR
32045,Viisoara,UDMR
32090,Varciorog,PNL
32153,Tamaseu,UDMR
32161,Paleu,UDMR
32179,Sannicolau Roman,PNL
32187,Rosiori,UDMR
32195,Gepiu,PSD
32201,Toboliu,PSD
32394,Municipiul Bistrita,PNL
32483,Oras Beclean,PSD
32544,Oras Nasaud,PNL
32599,Oras Sangeorz-Bai,PNL
32633,Bistrita Bargaului,PSD
32660,Branistea,UDMR
32704,Budacu De Jos,PSD
32768,Budesti,PSD
32811,Caianu Mic,PSD
32884,Cetate,PMP
32955,Ciceu-Giurgesti,PSD
33015,Chiochis,PNL
33122,Chiuza,PSD
33177,Cosbuc,PSD
33202,Dumitra,PNL
33248,Feldru,PNL
33275,Galatii Bistritei,PSD
33337,Ilva Mare,PNL
33364,Ilva Mica,PSD
33382,Josenii Bargaului,PSD
33435,Lechinta,PSD
33514,Lesu,PNL
33541,Livezile,PSD
33603,Lunca Ilvei,PNL
33621,Maieru,PSD
33658,Matei,PNL
33729,Magura Ilvei,PSD
33765,Mariselu,PSD
33845,Micestii De Campie,PNL
33881,Milas,PNL
33952,Monor,PSD
33989,Nimigea,PSD
34075,Nuseni,PNL
34155,Parva,PSD
34173,Petru Rares,PNL
34235,Prundu Bargaului,PSD
34262,Rebra,PNL
34280,Rebrisoara,PNL
34333,Rodna,PSD
34360,Romuli,PRO_ROMANIA
34397,Salva,PSD
34422,Silivasu De Campie,PSD
34477,Sanmihaiu De Campie,PNL
34547,Spermezeu,PNL
34618,Sant,PNL
34645,Sieu,PSD
34690,Sieu-Magherus,PNL
34770,Sieu-Odorhei,PNL
34850,Sieut,PSD
34903,Sintereag,PSD
34985,Teaca,PNL
35054,Telciu,PNL
35090,Tiha Bargaului,AUR
35152,Tarlisua,PSD
35269,Uriu,PSD
35312,Urmenis,PNL
35429,Zagra,PSD
35731,Municipiul Botosani,PSD
35759,Curtesti,PSD
35839,Rachiti,PNL
35884,Stauceni,PSD
35946,Oras Darabani,PSD
36006,Municipiul Dorohoi,PSD
36060,Oras Saveni,PSD
36131,Albesti,PSD
36202,Avrameni,PSD
36300,Baluseni,PSD
36373,Braesti,PRO_ROMANIA
36426,Broscauti,PSD
36453,Oras Bucecea,PSD
36499,Calarasi,PNL
36532,Concesti,PSD
36569,Copalau,PSD
36649,Cordareni,PSD
36676,Corlateni,PSD
36756,Corni,PSD
36809,Cotusca,PNL
36907,Cristesti,PNL
36952,Cristinesti,PSD
37011,Dersca,PSD
37057,Dangeni,PRO_ROMANIA
37100,Dobarceni,PSD
37173,Draguseni,PSD
37217,Durnesti,PNL
37280,Oras Flamanzi,PNL
37324,Frumusica,PSD
37397,George Enescu,PSD
37459,Gorbanesti,PSD
37547,Havarna,PSD
37618,Hanesti,PNL
37672,Hiliseu-Horia,PSD
37734,Hlipiceni,PSD
37770,Hudesti,PSD
37823,Ibanesti,PSD
37850,Leorda,PNL
37912,Lunca,PSD
37958,Manoleasa,PSD
38063,Mihai Eminescu,PNL
38161,Mihaileni,PSD
38241,Mihalaseni,PSD
38321,Mileanca,PSD
38376,Mitoc,PSD
38456,Nicseni,PSD
38492,Paltinis,PNL
38544,Pomarla,PSD
38580,Prajeni,PSD
38633,Radauti-Prut,PSD
38679,Rauseni,PSD
38731,Ripiceni,PSD
38811,Roma,PSD
38848,Romanesti,PSD
38893,Santa Mare,PSD
38982,Suharau,PSD
39051,Sulita,PSD
39122,Sendriceni,PSD
39168,Oras Stefanesti,PSD
39220,Stiubieni,PSD
39266,Todireni,PSD
39328,Trusesti,PSD
39391,Tudora,PNL
39417,Ungureni,PSD
39532,Unteni,PSD
39612,Vaculesti,PSD
39658,Viisoara,PSD
39694,Varfu Campului,PSD
39738,Vladeni,PSD
39792,Vlasinesti,PSD
39836,Vorniceni,PSD
39872,Vorona,PSD
39942,Lozna,PSD
39959,Dimacheni,USR_PLUS
39967,Candesti,PSD
39975,Cosula,PSD
39983,Blandesti,PSD
40035,Adaseni,PSD
40198,Municipiul Brasov,USR_PLUS
40214,Oras Ghimbav,USR_PLUS
40241,Municipiul Codlea,PSD
40278,Municipiul Fagaras,PNL
40303,Oras Predeal,PNL
40367,Oras Rasnov,PNL
40394,Oras Rupea,PNL
40438,Municipiul Sacele,PNL
40465,Oras Victoria,USR_PLUS
40492,Oras Zarnesti,PSD
40526,Apata,UDMR
40544,Beclean,PNL
40606,Bod,USR_PLUS
40633,Bran,PNL
40688,Budila,PNL
40704,Bunesti,PSD
40768,Cata,PNL
40820,Cincu,PNL
40857,Comana,PNL
40900,Cristian,PNL
40928,Dumbravita,PNL
40955,Feldioara,PNL
40991,Fundata,PNL
41033,Halchiu,PNL
41088,Harman,USR_PLUS
41113,Harseni,PNL
41177,Hoghiz,PSD
41248,Homorod,PSD
41284,Jibert,PNL
41346,Lisa,PSD
41382,Maierus,PNL
41417,Mandra,PSD
41471,Moieciu,PNL
41541,Ormenis,UDMR
41578,Parau,PNL
41621,Poiana Marului,PNL
41667,Prejmer,PNL
41701,Racos,UDMR
41738,Recea,PNL
41818,Sercaia,PNL
41854,Sinca,PNL
41925,Sanpetru,USR_PLUS
41943,Soars,PNL
42003,Tarlungeni,PNL
42058,Teliu,PSD
42076,Ticusu,PNL
42101,Ucea,PNL
42156,Ungra,PNL
42183,Vama Buzaului,PSD
42236,Vistea,PNL
42307,Voila,PNL
42398,Vulcan,PSD
42449,Sinca Noua,PNL
42456,Crizbav,PSD
42464,Sambata De Sus,PNL
42472,Holbav,AUR
42480,Dragus,PNL
42498,Augustin,PSD
42682,Municipiul Braila,PSD
42708,Chiscani,PSD
42753,Oras Faurei,PSD
42771,Surdila-Greci,PNL
42824,Baraganul,PSD
42842,Bertestii De Jos,PSD
42913,Bordei Verde,PSD
42968,Ciocile,PSD
43019,Ciresu,PNL
43073,Dudesti,PSD
43117,Frecatei,PNL
43180,Galbenu,PSD
43242,Gemenele,PSD
43279,Gradistea,PSD
43313,Gropeni,PSD
43331,Oras Ianca,PSD
43411,Oras Insuratei,PSD
43466,Jirlau,PSD
43493,Marasu,PSD
43563,Maxineni,PSD
43625,Mircea Voda,PSD
43652,Movila Miresii,PSD
43698,Racovita,PSD
43732,Ramnicelu,PSD
43787,Romanu,PSD
43812,Rosiori,PSD
43867,Salcia Tudor,PSD
43929,Scortaru Nou,PSD
43992,Silistea,PSD
44060,Stancuta,PSD
44113,Surdila-Gaiseanca,PNL
44140,Sutesti,PSD
44177,Tichilesti,PSD
44202,Traian,PSD
44257,Tudor Vladimirescu,PSD
44300,Tufesti,PSD
44328,Ulmu,PNL
44355,Unirea,PSD
44391,Vadeni,PSD
44435,Victoria,PSD
44462,Visani,PSD
44505,Viziru,PSD
44532,Zavoaia,PSD
44560,Cazasu,PSD
44818,Municipiul Buzau,PSD
44845,Municipiul Ramnicu Sarat,PSD
44863,Amaru,PSD
44934,Balta Alba,PSD
44989,Balaceanu,PSD
45003,Beceni,PSD
45101,Berca,PSD
45245,Bisoca,PSD
45334,Blajani,PSD
45361,Boldu,PSD
45389,Bozioru,PSD
45496,Bradeanu,PSD
45539,Braesti,PSD
45619,Breaza,PSD
45673,Buda,PSD
45753,Calvini,PNL
45815,C.a. Rosetti,PSD
45888,Canesti,PSD
45959,Catina,PSD
46019,Cernatesti,PSD
46108,Chiliile,PSD
46180,Chiojdu,PNL
46251,Cilibia,PSD
46313,Cislau,PSD
46377,Cochirleanca,PSD
46439,Colti,PMP
46484,Costesti,PSD
46554,Cozieni,PSD
46769,Galbinasi,PSD
46803,Gheraseni,PSD
46830,Ghergheasa,PSD
46867,Glodeanu Sarat,PSD
46910,Glodeanu-Silistea,PSD
47006,Grebanu,PSD
47079,Gura Teghii,PMP
47159,Largu,PSD
47186,Lopatari,PSD
47300,Luciu,PSD
47337,Magura,PSD
47373,Maracineni,PSD
47417,Margaritesti,PSD
47453,Merei,PSD
47578,Mihailesti,PSD
47630,Manzalesti,PSD
47774,Movila Banului,PSD
47818,Murgesti,PSD
47854,Naeni,PMP
47916,Oras Nehoiu,PSD
48021,Odaile,PSD
48138,Padina,PSD
48165,Pardosi,PNL
48227,Panatau,PSD
48325,Oras Patarlagele,PSD
48487,Pietroasele,PSD
48557,Parscov,PSD
48682,Podgoria,PSD
48744,Oras Pogoanele,PSD
48771,Posta Calnau,PSD
48842,Puiesti,PSD
48922,Racoviteni,PSD
48968,Ramnicelu,PSD
49019,Robeasca,PSD
49046,Rusetu,PSD
49073,Sageata,PSD
49153,Sahateni,PSD
49206,Sapoca,PSD
49233,Sarulesti,PSD
49313,Scortoasa,PMP
49439,Scutelnici,PNL
49484,Siriu,PSD
49545,Smeeni,PSD
49625,Stalpu,PSD
49643,Tisau,PSD
49769,Topliceni,PSD
49849,Tintesti,PSD
49894,Ulmeni,PSD
49956,Vadu Pasii,PSD
50022,Valea Ramnicului,PSD
50068,Valea Salciei,PSD
50102,Vernesti,PSD
50228,Vintila Voda,PSD
50326,Viperesti,PSD
50399,Valcelele,PSD
50415,Zarnesti,PMP
50479,Ziduri,PRO_ROMANIA
50549,Unguriu,PSD
50564,Florica,PSD
50790,Municipiul Resita,PNL
50889,Oras Anina,PNL
50923,Oras Baile Herculane,PSD
50969,Oras Bocsa,PSD
50987,Ocna De Fier,PNL
51010,Municipiul Caransebes,PSD
51056,Oras Moldova Noua,PSD
51118,Oras Oravita,PSD
51207,Oras Otelu Rosu,PSD
51243,Armenis,PNL
51305,Bania,PSD
51332,Bautar,PNL
51387,Berliste,PNL
51449,Berzasca,PSD
51500,Berzovia,PNL
51546,Bolvasnita,PSD
51573,Bozovici,PSD
51626,Brebu,PSD
51662,Brebu Nou,PNL
51699,Buchin,PSD
51751,Bucosnita,PSD
51804,Carasova,PNL
51840,Carbunari,PSD
51877,Constantin Daicoviciu,PSD
51948,Ciclova Romana,PNL
51984,Ciuchici,PSD
52035,Ciudanovita,PSD
52062,Copacele,PSD
52115,Cornea,PSD
52160,Cornereva,PSD
52570,Dalboset,PMP
52650,Doclin,PSD
52696,Dognecea,PSD
52721,Domasnea,PNL
52758,Ezeris,PNL
52785,Farliug,PNL
52856,Forotic,PNL
52909,Garnic,PSD
52936,Glimboca,PNL
52954,Goruia,PMP
52990,Gradinari,PNL
53023,Iablanita,PSD
53069,Lapusnicel,PSD
53103,Lapusnicu Mare,PNL
53130,Luncavita,PNL
53167,Lupac,PNL
53210,Marga,PSD
53247,Maureni,PNL
53274,Mehadia,PSD
53327,Mehadica,PNL
53345,Naidas,PNL
53372,Obreja,PNL
53425,Paltinis,PSD
53489,Coronini,PSD
53513,Pojejena,PSD
53577,Prigor,PSD
53639,Ramna,PNL
53675,Racasdia,PNL
53700,Eftimie Murgu,PNL
53728,Rusca Montana,PSD
53755,Sacu,PSD
53791,Sasca Montana,PSD
53853,Sichevita,PNL
54056,Slatina-Timis,PNL
54109,Socol,PSD
54163,Sopotu Nou,PSD
54270,Teregova,PSD
54305,Ticvaniu Mare,PSD
54350,Tarnova,PSD
54387,Toplet,PSD
54412,Turnu Ruieni,PNL
54485,Valiug,PNL
54500,Varadia,PNL
54537,Vermes,PSD
54573,Vrani,PNL
54617,Zavoi,PNL
54699,Zorlentu Mare,PNL
54975,Municipiul Cluj-Napoca,PNL
55008,Municipiul Dej,PNL
55062,Cuzdrioara,PNL
55106,Jichisu De Jos,PNL
55160,Mica,PNL
55259,Municipiul Turda,PNL
55277,Mihai Viteazu,PNL
55311,Sandulesti,PNL
55357,Municipiul Campia Turzii,PNL
55384,Municipiul Gherla,PNL
55446,Oras Huedin,PNL
55473,Aghiresu,UDMR
55598,Aiton,PNL
55623,Alunis,PNL
55687,Apahida,PNL
55776,Aschileu,PNL
55838,Baciu,UDMR
55918,Baisoara,PNL
56014,Belis,PSD
56096,Bobalna,PSD
56210,Bontida,PNL
56265,Borsa,PNL
56327,Buza,UDMR
56354,Caianu,PNL
56425,Calarasi,UDMR
56461,Calatele,PNL
56522,Camarasu,PSD
56568,Capusu Mare,UDMR
56666,Caseiu,PNL
56773,Catina,PNL
56844,Ceanu Mare,PMP
56988,Chinteni,PSD
57083,Chiuiesti,PNL
57163,Ciucea,PNL
57225,Ciurila,PNL
57314,Catcau,PNL
57350,Cojocna,PNL
57449,Cornesti,PNL
57546,Dabaca,PNL
57582,Feleacu,PNL
57644,Fizesu Gherlii,PNL
57706,Floresti,USR_PLUS
57742,Frata,PSD
57831,Geaca,PNL
57902,Gilau,PNL
57948,Garbau,UDMR
58008,Iara,PNL
58142,Iclod,PNL
58204,Izvoru Crisului,UDMR
58259,Jucu,PSD
58311,Luna,PNL
58357,Maguri-Racatau,PNL
58393,Manastireni,PSD
58464,Margau,PNL
58534,Marisel,PNL
58552,Mintiu Gherlii,PNL
58623,Mociu,PNL
58721,Moldovenesti,UDMR
58794,Palatca,PNL
58856,Panticeu,PNL
58918,Petrestii De Jos,PNL
58990,Ploscos,PNL
59041,Poieni,PNL
59130,Recea-Cristur,PNL
59238,Risca,PNL
59283,Sacuieu,PNL
59327,Savadisla,UDMR
59416,Sic,UDMR
59434,Sancraiu,UDMR
59498,Sanmartin,PNL
59586,Sanpaul,PNL
59657,Suatu,UDMR
59693,Tritenii De Jos,PNL
59764,Tureni,PNL
59826,Taga,PNL
59880,Unguras,UDMR
59942,Vad,PNL
60026,Valea Ierii,PSD
60062,Viisoara,PNL
60099,Vultureni,PNL
60169,Negreni,PNL
60419,Municipiul Constanta,PNL
60455,Oras Eforie,PNL
60482,Municipiul Mangalia,PNL
60507,Oras Navodari,PSD
60534,Oras Techirghiol,PNL
60570,Agigea,USR_PLUS
60598,2020-08-23 00:00:00,PNL
60632,Limanu,PSD
60687,Oras Ovidiu,PNL
60721,Tuzla,PNL
60776,Oras Cernavoda,PSD
60801,Oras Harsova,PSD
60847,Municipiul Medgidia,PSD
60883,Adamclisi,PNL
60945,Albesti,PNL
61005,Aliman,PNL
61121,Castelu,PSD
61167,Cerchezu,PSD
61210,Chirnogeni,PSD
61256,Ciobanu,PSD
61283,Ciocarlia,PNL
61318,Cobadin,PSD
61372,Cogealac,PSD
61452,Comana,PNL
61513,Corbu,AUR
61559,Crucea,PNL
61620,Cumpana,PSD
61675,Deleni,PSD
61737,Dobromir,PSD
61808,Garliciu,PNL
61826,Ghindaresti,PNL
61871,Independenta,PSD
61951,Ion Corvin,PNL
62020,Istria,PSD
62057,Lipnita,PNL
62137,Mereni,PSD
62191,Mihail Kogalniceanu,PNL
62253,Mihai Viteazu,PNL
62280,Mircea Voda,PSD
62360,Oras Murfatlar,PNL
62397,Oras Negru Voda,AUR
62440,Nicolae Balcescu,PSD
62486,Oltina,PSD
62538,Ostrov,PSD
62609,Pantelimon,PNL
62672,Pecineaga,AUR
62707,Pestera,AUR
62761,Poarta Alba,PSD
62798,Rasova,PNL
62823,Saraiu,PSD
62878,Sacele,PNL
62903,Seimeni,PSD
62949,Silistea,PNL
62985,Targusor,PSD
63045,Topalu,PSD
63072,Topraisar,PSD
63125,Valu Lui Traian,PNL
63152,Lumina,AUR
63161,Dumbraveni,PSD
63170,Vulturu,PSD
63189,Tortoman,AUR
63198,Amzacea,PSD
63278,Horia,PNL
63286,Costinesti,PNL
63294,Baraganu,AUR
63300,Cuza Voda,PNL
63318,Saligny,PSD
63326,Gradina,PSD
63334,Fantanele,PNL
63394,Municipiul Sfantu Gheorghe,UDMR
63447,Oras Baraolt,UDMR
63526,Oras Covasna,UDMR
63553,Comandau,UDMR
63580,Oras Intorsura Buzaului,USR_PLUS
63633,Barcani,PSD
63688,Sita Buzaului,PSD
63740,Municipiul Targu Secuiesc,UDMR
63777,Aita Mare,UDMR
63802,Batani,UDMR
63866,Belin,UDMR
63893,Bodoc,UDMR
