uat_siruta,nr_alegatori,nr_voturi,PMP,PSD,PNL,USR_PLUS,PRO_ROMANIA,AUR,UDMR
145998,2116,217,5,31,67,16,3,63.0,1
146012,1652,720,49,110,347,52,16,72.0,48
146021,1298,424,3,64,232,73,5,36.0,2
146263,105319,28482,2861,6855,6438,5111,1163,2826.0,96
146281,6855,2297,265,400,601,340,82,275.0,10
146325,4309,1643,151,273,668,72,35,212.0,6
146370,8143,2226,323,578,333,182,82,417.0,13
146432,9762,2889,293,769,637,460,105,303.0,11
146502,17591,5135,404,1264,1419,769,294,519.0,17
146539,25856,7600,183,2471,1334,1688,311,927.0,36
146584,14514,3802,109,945,1118,536,190,603.0,12
146628,29024,6789,376,1695,1845,1008,387,686.0,13
146655,8149,2220,64,658,814,159,99,214.0,10
146708,2096,574,16,241,105,59,27,72.0,4
146744,13988,4629,280,1211,1324,586,181,597.0,19
146799,3650,1061,39,187,498,84,30,119.0,6
146860,5915,1316,58,496,285,84,51,192.0,5
146904,5653,1230,38,587,118,68,81,216.0,4
146931,4462,1230,81,252,160,415,31,112.0,4
146995,2696,672,21,174,264,31,15,81.0,6
147036,3167,704,21,157,227,48,37,106.0,3
147054,3314,867,44,256,105,93,27,145.0,0
147072,3937,1049,37,473,124,83,34,208.0,6
147134,5933,1307,98,276,359,110,38,194.0,8
147161,2137,677,15,144,321,20,17,88.0,2
147205,1323,371,14,161,57,14,18,59.0,1
147241,3097,866,88,155,151,43,71,212.0,1
147358,5374,1562,50,477,231,107,221,339.0,10
147465,2258,677,12,279,152,37,16,119.0,4
147526,3618,1174,28,319,395,81,66,172.0,12
147580,2303,639,31,160,240,27,48,67.0,4
147633,6991,1148,81,393,195,90,9,185.0,5
147660,2307,582,17,147,204,28,22,65.0,3
147713,1593,457,11,117,174,10,18,78.0,8
147786,6011,2055,43,1019,250,133,51,364.0,8
147884,1694,554,14,259,84,32,19,79.0,0
147937,4972,1666,127,295,701,107,65,213.0,9
148006,9118,2638,166,685,884,134,83,494.0,13
148097,3073,859,15,421,106,61,37,130.0,6
148131,2537,961,29,204,444,78,35,102.0,1
148202,2561,900,58,286,180,69,37,172.0,6
148293,3844,756,20,189,238,83,39,147.0,1
148328,2179,603,23,232,149,17,19,105.0,3
148382,2138,544,10,259,50,53,32,93.0,0
148426,7356,1858,208,672,227,97,28,417.0,10
148453,3796,969,80,303,201,20,105,170.0,5
148514,3784,1207,32,570,152,59,46,234.0,4
148612,5431,1214,79,312,301,146,66,190.0,9
148667,4587,919,173,198,185,123,50,85.0,7
148694,4535,747,36,157,196,80,40,154.0,2
148729,2918,1005,49,271,416,50,23,128.0,4
148765,3391,1196,91,270,523,94,25,119.0,2
148872,2477,462,19,160,60,51,32,89.0,1
148916,2462,547,17,224,85,37,14,75.0,7
148970,4560,915,120,323,131,65,25,126.0,7
149049,3059,1321,45,345,521,69,56,191.0,6
149101,2032,540,28,117,114,133,31,60.0,5
149138,1777,708,26,249,186,54,10,90.0,2
149183,1683,386,16,114,108,38,15,58.0,4
149227,8272,1904,89,440,661,129,70,365.0,11
149290,8596,1867,266,297,357,113,100,374.0,9
149316,6145,1876,34,521,471,114,61,532.0,6
149370,3140,994,85,153,282,196,20,170.0,8
149414,4842,1445,74,280,521,152,88,189.0,4
149502,1578,391,33,115,112,21,16,50.0,5
149539,4238,1129,84,169,408,66,45,247.0,4
149584,1577,457,15,116,137,30,31,67.0,8
149655,2826,851,15,303,224,38,19,190.0,3
149682,1923,567,17,181,124,27,19,130.0,3
149753,5112,2057,76,384,1000,66,72,318.0,9
149780,2404,680,37,218,183,51,23,91.0,4
149833,4000,986,68,317,130,69,32,295.0,3
149851,1926,887,27,442,120,75,37,116.0,3
149931,2533,885,71,238,210,92,22,119.0,2
149968,5616,1737,87,639,295,78,58,435.0,6
150043,3236,1091,19,257,363,51,43,186.0,4
150070,3459,911,23,154,344,150,22,148.0,4
150114,4137,1183,57,288,189,99,84,313.0,11
150178,2140,852,51,159,381,71,28,109.0,1
150196,3547,798,40,329,98,40,35,108.0,3
150221,2431,628,25,214,139,35,25,108.0,4
150258,4420,1238,37,630,203,31,23,230.0,5
150294,4600,1221,61,328,269,59,32,284.0,1
150310,2818,931,23,221,393,30,62,92.0,1
150356,4788,1495,30,456,391,42,108,353.0,9
150418,2558,708,27,217,124,77,13,115.0,2
150445,3521,1164,88,282,250,109,76,239.0,1
150524,4532,1340,44,326,561,62,67,93.0,10
150588,6348,1827,129,659,239,201,44,346.0,8
150702,1742,501,16,113,89,12,16,129.0,1
150766,3873,1126,38,440,136,119,71,172.0,5
150891,3083,850,19,477,98,13,28,167.0,3
150935,5049,1360,61,301,399,192,71,213.0,6
150980,3632,1224,29,193,548,62,61,242.0,5
151022,5721,1285,208,426,193,46,48,227.0,6
151077,5247,1138,33,523,166,74,65,142.0,3
151095,12272,2652,99,826,399,142,81,477.0,10
151120,4313,1051,29,367,218,59,60,190.0,2
151157,2867,778,16,306,139,36,62,113.0,7
151246,2548,769,67,401,75,30,46,95.0,4
151344,5014,1180,46,536,186,53,51,138.0,15
151433,1926,585,42,146,235,24,28,50.0,3
151442,3182,716,45,269,107,27,7,162.0,2
151451,1288,529,16,127,186,26,29,98.0,0
151460,2644,602,35,125,176,26,75,89.0,3
151479,4089,1020,33,192,357,57,62,146.0,3
151488,2214,618,109,154,146,42,19,76.0,4
151497,1245,505,30,160,98,75,22,73.0,2
151503,2081,1147,17,162,639,28,47,202.0,2
151512,3209,785,38,375,114,32,41,105.0,2
151521,1687,368,35,73,108,21,42,59.0,0
151530,1248,335,27,181,36,12,7,55.0,2
151549,2058,571,13,134,105,28,32,186.0,1
151558,3488,1051,49,640,85,31,25,162.0,0
151567,1685,356,8,203,28,23,7,47.0,1
151576,2640,1005,27,473,149,50,14,192.0,8
151585,1741,467,18,161,107,10,16,111.0,3
