uat_siruta,PMP,PSD,PNL,USR_PLUS,PRO_ROMANIA,AUR,UDMR
1017,3.8808622060129987,19.483798569224295,27.11927806611493,28.054425585636135,4.044513021929209,10.342731565904522,1.1782858745967177
1071,7.132564841498559,16.282420749279538,39.69740634005764,15.561959654178674,2.7377521613832854,11.095100864553315,0.8645533141210374
1151,2.7846534653465347,41.89356435643565,27.97029702970297,8.353960396039604,3.527227722772277,10.643564356435643,1.2995049504950495
1213,2.410668490340229,26.107026842195246,27.13284322106343,17.387587621815694,2.9577705590699264,8.103949393058642,12.805607796204479
1348,2.768670309653916,15.956284153005464,43.84335154826958,11.293260473588342,2.276867030965392,15.938069216757741,2.714025500910747
1455,1.4383043149129446,33.08099924299773,34.48145344436033,6.850870552611658,2.6495079485238455,17.29750189250568,0.3785011355034065
1696,3.225806451612903,26.96260348272909,34.39908649728804,15.715101341707108,2.2552098201541537,12.532115329717385,0.6994005138452755
1794,6.456293072179906,20.60210373594487,40.1886108088502,10.627493652520856,4.642727602466449,7.435618425825172,5.223068552774755
1874,4.306969459671104,15.974941268598277,41.464369616288174,18.141477421038893,2.0099190811798486,12.268337248760115,0.46985121378230227
1936,4.41712204007286,25.364298724954462,34.517304189435336,8.469945355191257,5.646630236794171,16.939890710382514,1.092896174863388
2130,2.202643171806167,20.704845814977972,38.61967694566813,3.81791483113069,3.3773861967694567,26.431718061674008,0.14684287812041116
2309,17.887931034482758,14.870689655172415,34.05172413793103,10.129310344827585,6.0344827586206895,13.577586206896552,1.0775862068965518
2381,1.1325028312570782,24.122310305775766,59.00339750849377,2.491506228765572,3.5107587768969424,8.380520951302378,0.0
2577,3.7344398340248963,22.61410788381743,50.4149377593361,4.564315352697095,4.149377593360996,9.54356846473029,0.0
2915,3.2124352331606216,33.056994818652846,27.357512953367877,10.259067357512953,3.626943005181347,18.756476683937823,1.0362694300518134
2988,9.147609147609147,12.474012474012474,47.19334719334719,9.147609147609147,1.6632016632016633,15.384615384615385,1.0395010395010396
3039,2.151394422310757,32.58964143426295,34.820717131474105,6.2151394422310755,3.0278884462151394,17.131474103585656,0.47808764940239046
