Code,Localitate,Shannon,Simpson,Inverse Simpson
1017,Municipiul Alba Iulia,0.3130329052295036,-5.920680090614092,0.14449446974961488
1071,Ciugud,0.0623887444491804,-18.987224023009496,0.05003196035871664
1151,Oras Abrud,0.10371515628283044,-17.977484427206818,0.0526940229531351
1213,Municipiul Aiud,0.890509554523672,-15.662283274431882,0.06001578436338858
1348,Municipiul Blaj,0.8049364824393438,-17.719539443610493,0.05342011768036997
1455,Oras Campeni,0.1928199579236734,-19.942388555053522,0.047750045195236054
1696,Oras Cugir,0.3188303444102356,-14.911662052079645,0.06284698586024208
1794,Oras Ocna Mures,0.8125913127279893,-17.711524369692242,0.05344300016623646
1874,Municipiul Sebes,0.40474570333808657,-15.881788411416316,0.059235430253571336
1936,Oras Zlatna,0.32614976690106656,-17.89855855953406,0.05291408849250643
2130,Albac,0.12326113558278975,-19.966903244779925,0.047694215417766445
2309,Almasu Mare,0.043471916485273265,-19.99055139400737,0.0476404826738135
2381,Arieseni,0.018413306571697655,-19.99653580719606,0.04762690422756662
2577,Avram Iancu,0.48329447444158524,-19.812741256921456,0.0480474910851756
2915,Oras Baia De Aries,0.04574290615921079,-19.989964836094348,0.047641813971998646
2988,Berghin,0.42407279247694063,-17.876546006968372,0.05297579332738336
3039,Bistra,0.05073077002610703,-19.988654782718648,0.0476447876413388
3397,Blandiana,0.131225550204339,-19.964257656531302,0.047700234197820754
3459,Bucium,-0.0,-21.0,0.045454545454545456
3761,Cenade,0.7442780873164209,-17.738385671053393,0.05336639012317779
3805,Cergau,0.5472264518883158,-19.779290758314264,0.04812483792787188
3841,Ceru-Bacainti,-0.0,-21.0,0.045454545454545456
3958,Cetatea De Balta,1.5124327009745202,-17.378220995631615,0.05441223066354973
4008,Ciuruleasa,-0.0,-21.0,0.045454545454545456
4106,Calnic,0.843585866331831,-18.616157860083923,0.0509783825728104
4142,Cricau,0.1360450646240397,-18.96573781587447,0.05008580244927961
4188,Craciunelu De Jos,0.26359427580708356,-18.925476575157113,0.050187005376162
4240,Daia Romana,0.026025941842720397,-19.994824434100213,0.04763078648925399
4268,Dostat,0.16808857115922896,-19.951455651130978,0.04772938055719385
4302,Farau,1.028902745131353,-18.579147405815533,0.05107474698836851
4366,Galda De Jos,0.39042545137090734,-18.866369605414437,0.05033632313613339
4482,Garbova,0.5697884961444414,-17.809949370455733,0.053163354153981525
4525,Garda De Sus,-0.0,-21.0,0.045454545454545456
4703,Hoparta,0.7385397216440855,-18.693979793388568,0.05077693845993019
4767,Horea,0.21917642491160508,-19.93233386946897,0.04777298156220212
4927,Ighiu,0.22196306449819656,-18.938180690889904,0.05015502745729038
4981,Intregalde,-0.0,-21.0,0.045454545454545456
5103,Jidvei,1.0271198000601023,-17.585305925292467,0.05380594777507078
5167,Livezile,0.08633220093481295,-18.981281881269325,0.05004683913385012
5210,Lopadea Noua,1.0262272163662056,-18.49848235670688,0.05128604276506836
5309,Lunca Muresului,1.2947099650097853,-18.469522259261126,0.051362328601788215
5336,Lupsa,-0.0,-21.0,0.045454545454545456
5577,Metes,0.05043339167913209,-18.9900164428428,0.050024971358042014
5700,Mihalt,0.11796383229246676,-18.971317339298757,0.05007180963632479
5755,Miraslau,1.08721979483054,-18.539074147042363,0.051179497681130934
5826,Mogos,-0.0,-21.0,0.045454545454545456
6048,Noslac,0.8440031345440518,-18.68172918787689,0.0508085438253036
6119,Ocolis,-0.0,-21.0,0.045454545454545456
6164,Ohaba,0.17575512828488662,-19.94868430924071,0.04773569476909288
6217,Pianu,0.06994149243275571,-17.986141770856054,0.05266999541397144
6271,Poiana Vadului,-0.0,-21.0,0.045454545454545456
6397,Ponor,-0.0,-21.0,0.045454545454545456
6468,Posaga,-0.0,-21.0,0.045454545454545456
6547,Radesti,0.8554772081432924,-18.657039264290468,0.05087236111984719
6592,Rametea,0.5890537061366501,-18.766322384693282,0.05059110038468176
6627,Ramet,-0.0,-21.0,0.045454545454545456
6761,Rosia Montana,0.5793237388021548,-18.770489747702722,0.050580436436391124
6930,Rosia De Secas,0.34475252506291587,-17.894455766714017,0.05292557839965308
6976,Salciua,-0.0,-21.0,0.045454545454545456
7044,Salistea,-0.0,-21.0,0.045454545454545456
7099,Sasciori,0.0638037766608028,-18.98638353610477,0.05003406435153871
7197,Scarisoara,0.6275160148603522,-19.7350535486717,0.04822750988574421
7348,Sancel,0.32622511724120107,-18.89487188592642,0.05026420907527419
7384,Santimbru,0.1909866896130149,-18.951051505878638,0.05012267146447629
7446,Sohodol,0.16527275644076483,-19.95246442263324,0.04772708259176336
7767,Stremt,0.04620894856710808,-19.98984368399123,0.04764208895765581
7810,Sibot,0.2087072820923857,-19.936374653739612,0.04776376123080994
7865,Sona,1.1122049610613987,-17.552144460552714,0.05390212447549082
7945,Spring,0.28830446496141815,-17.917485268228276,0.05286114860517374
8014,Sugag,0.029756110043301295,-19.993948618521188,0.047632773527786214
8096,Oras Teius,0.6523307782579334,-17.7795630518842,0.05324937525102148
8158,Unirea,1.1075541744290844,-17.572160977612718,0.053844030385339726
8229,Vadu Motilor,-0.0,-21.0,0.045454545454545456
8354,Valea Lunga,0.44920505152625456,-17.86908953510209,0.05299672769794769
8425,Vidra,0.019561461433557595,-19.99628484258877,0.0476274735029125
8826,Vintu De Jos,0.23664048134432203,-15.941199531381681,0.05902769742765922
9019,Cut,0.11830528622013912,-19.968526570197945,0.047690523063326516
9026,Bucerdea Granoasa,1.2454477612902768,-18.501505267521168,0.051278092961647044
9262,Municipiul Arad,0.7984441789127142,-1.746994170189863,0.36403426365148905
9280,Fantanele,0.7806895858244711,-14.758338563897647,0.06345846650934382
9333,Livada,0.5752860783507943,-15.811422307377011,0.059483366827397494
9360,Sofronea,0.9438309808495567,-18.55068189951415,0.051149111071407224
9397,Vladimirescu,0.35991396494769656,-9.912570615375214,0.09163743679157088
9459,Oras Chisineu-Cris,1.1018040077327966,-14.583791907524741,0.06416923467241263
9495,Oras Curtici,0.6879417817943092,-15.767285047989489,0.05963994750121498
9538,Oras Ineu,0.732578715466551,-13.761631027700622,0.06774319166516704
9574,Oras Lipova,0.4382130039154625,-12.885494665922666,0.07201759995300476
9627,Oras Nadlac,1.486759945130975,-12.418982933675057,0.07452129605817526
9654,Oras Pancota,1.0962072212819818,-15.63557023638208,0.06011215640886146
9690,Oras Sebis,0.5330112871741197,-15.830936613831298,0.059414399979275175
9743,Almas,0.13114882098067382,-19.96428335693639,0.047700175721443534
9798,Apateu,0.20030292452002083,-18.942400025464462,0.050144415853813955
9832,Archis,0.30585481457490893,-19.896662787457586,0.04785453113595781
9887,Bata,0.2433874057749962,-18.928343356560426,0.05017978575077086
9930,Beliu,0.5658657432005476,-16.835976200319003,0.05606645740994623
10006,Birchis,0.4791743761817314,-18.828188650928816,0.050433250238072394
10051,Barsa,0.19537099596391597,-18.948844912190083,0.050128215663701556
10104,Barzava,0.1915407007745479,-16.956848851229704,0.05568905815741267
10195,Bocsig,0.20295349847205035,-18.94773784281795,0.05013099770408519
10239,Brazii,-0.0,-21.0,0.045454545454545456
10293,Buteni,0.08338293284429604,-18.98203962458775,0.0500449412966586
10346,Carand,0.3552875524488921,-18.882230384654626,0.05029616801804155
10373,Cermei,0.7117095082426829,-16.76899479322124,0.05627780364826793
10417,Chisindia,0.22907685773023675,-19.9284570924671,0.04778183100558979
10453,Conop,0.11464143452134454,-18.97345581445898,0.05006644865512408
10514,Covasint,0.9048623905249998,-17.60367441547971,0.053752822032185316
10532,Craiva,0.6143470846947778,-18.772251442088862,0.050575929753316644
10649,Dezna,0.025651946800986897,-19.99491097459392,0.047630590156352966
10701,Dieci,0.1253123092551699,-19.96622619005444,0.04769575558973799
10765,Ususau,0.052532315081838296,-18.98953119786453,0.05002618571199056
10827,Felnac,0.9742234618524269,-15.656674454115894,0.0600359935444916
10872,Ghioroc,0.7660288354492524,-15.712790981276676,0.05983441072890214
10916,Graniceri,0.4919757330795488,-17.84528097796717,0.05306368215836861
10943,Gurahont,0.19190795820948142,-16.955036774472152,0.05569467846603162
11058,Halmagiu,0.024382108751157178,-18.995690440453394,0.0500107762209048
11174,Halmagel,-0.0,-21.0,0.045454545454545456
11236,Hasmas,0.16676648237501449,-19.951929906152294,0.047728300184240374
11307,Ignesti,-0.0,-21.0,0.045454545454545456
11352,Iratosu,1.1582048958598448,-16.47818501742167,0.057214178646308726
11398,Macea,0.6434708645848966,-16.80342169948009,0.05616897790098421
11423,Misca,1.5887189875320227,-17.340150803252577,0.05452517870369161
11478,Moneasa,0.09448423313368225,-18.978973392101288,0.05005262184268944
11502,Olari,1.5422115972359949,-15.416296963340905,0.060915077391271104
11539,Paulis,0.533495752193437,-14.846608607220814,0.06310498509721069
11584,Oras Pecica,1.3578755238863633,-11.472472550234361,0.08017656450815037
11637,Peregu Mare,2.111759349194052,-13.304887272616147,0.06990617828315925
11664,Petris,0.08567787060064676,-17.982664599265615,0.052679643301430254
