,RM_Adulti,RM_Barbati,RM_femei,RM_cancer,RM_cardio,RM_vatamari,RM5_boli_diareice,RM5_HIV,RM5_vatamari,RM5_malaria,RM5_pojar,RM5_neonatal,RM5_pneumonie,SV,Tuberculoza,Polio
Afghanistan,268.90673575129534,260.419689119171,270.20725388601034,21.89005235602093,334.22513089005236,52.83769633507853,9.659358288770054,-3.022994652406417,-3.984491978609625,-3.070053475935829,4.565775401069519,-17.2005347593583,13.562566844919786,-21.3717277486911,68.4869109947644,8.424870466321243
Albania,-80.09326424870466,-74.58031088082902,-86.79274611398966,22.89005235602093,165.22513089005236,-17.162303664921467,1.6593582887700542,-3.322994652406417,-0.6844919786096249,-3.670053475935829,-1.2342245989304812,9.599465240641699,-0.637433155080215,3.6282722513089,-114.5130890052356,-2.5751295336787563
Algeria,-76.09326424870466,-56.58031088082902,-94.79274611398966,-28.10994764397907,-57.774869109947645,3.837696335078533,2.659358288770054,-3.322994652406417,-0.0844919786096252,-3.570053475935829,-0.43422459893048126,4.799465240641702,2.4625668449197846,3.6282722513089,-91.5130890052356,-1.5751295336787563
Andorra,-143.09326424870466,-139.58031088082902,-147.79274611398966,-5.109947643979069,-246.77486910994764,-50.16230366492147,0.0,8.881784197001252e-16,0.0,-8.881784197001252e-16,0.0,-7.105427357601002e-15,-3.552713678800501e-15,14.6282722513089,-117.5130890052356,-2.5751295336787563
Angola,253.90673575129534,247.41968911917098,261.20725388601034,47.89005235602093,114.22513089005236,149.83769633507853,9.659358288770054,-1.1229946524064167,-3.6844919786096253,4.229946524064172,3.4657754010695188,-21.0005347593583,13.562566844919786,-24.3717277486911,111.4869109947644,-1.5751295336787563
Antigua and Barbuda,-65.09326424870466,-57.58031088082902,-70.79274611398966,12.89005235602093,-28.774869109947645,-46.16230366492147,-6.940641711229945,-2.322994652406417,-2.6844919786096253,-4.070053475935829,-1.3342245989304813,-17.900534759358298,-9.737433155080215,4.6282722513089,-133.5130890052356,-2.5751295336787563
Argentina,-93.09326424870466,-95.58031088082902,-90.79274611398966,10.89005235602093,-159.77486910994764,-29.162303664921467,-8.040641711229945,-3.1229946524064167,2.615508021390375,-4.070053475935829,-1.3342245989304813,13.299465240641702,-7.837433155080214,7.6282722513089,-90.5130890052356,-2.5751295336787563
Armenia,-72.09326424870466,-84.58031088082902,-50.792746113989665,14.89005235602093,126.22513089005236,-42.16230366492147,1.6593582887700542,-3.1229946524064167,0.7155080213903746,-3.570053475935829,-1.2342245989304812,5.1994652406417,0.562566844919786,3.6282722513089,-68.5130890052356,-2.5751295336787563
Australia,-153.09326424870466,-132.58031088082902,-172.79274611398966,-4.109947643979069,-231.77486910994764,-46.16230366492147,-9.240641711229946,-3.322994652406417,5.515508021390374,-4.070053475935829,-1.3342245989304813,12.399465240641703,-10.037433155080215,15.6282722513089,-133.5130890052356,-2.5751295336787563
Austria,-134.09326424870466,-124.58031088082902,-143.79274611398966,-4.109947643979069,-167.77486910994764,-43.16230366492147,-9.340641711229946,-3.322994652406417,3.315508021390375,-4.070053475935829,-1.3342245989304813,12.799465240641702,-10.537433155080215,13.6282722513089,-125.5130890052356,-2.5751295336787563
Azerbaijan,-22.093264248704656,-33.58031088082902,-7.792746113989665,-18.10994764397907,241.22513089005236,-52.16230366492147,5.659358288770054,-3.322994652406417,-3.7844919786096254,-3.070053475935829,-1.2342245989304812,0.8994652406417032,7.162566844919784,-0.37172774869110015,-64.5130890052356,-2.5751295336787563
