Code,Localitate,Shannon,Simpsone,Inverse Simpson
1017,Municipiul Alba Iulia,0.3130329052295036,0.0793199093859076,1.0861536055732468
1071,Ciugud,0.0623887444491804,0.012775976990503923,1.0129413149323059
1151,Oras Abrud,0.10371515628283044,0.022515572793182725,1.02303420102305
1213,Municipiul Aiud,0.890509554523672,0.3377167255681206,1.5099279094097933
1348,Municipiul Blaj,0.8049364824393438,0.28046055638950473,1.3897778765014097
1455,Oras Campeni,0.1928199579236734,0.05761144494647841,1.0611334301945194
1696,Oras Cugir,0.3188303444102356,0.08833794792035599,1.0968976911113535
1794,Oras Ocna Mures,0.8125913127279893,0.28847563030775847,1.4054332396689857
1874,Municipiul Sebes,0.40474570333808657,0.11821158858368119,1.1340589046683105
1936,Oras Zlatna,0.32614976690106656,0.10144144046593861,1.112893521952025
2130,Albac,0.12326113558278975,0.03309675522007649,1.034229645415669
2309,Almasu Mare,0.043471916485273265,0.009448605992629533,1.0095387337293062
2381,Arieseni,0.018413306571697655,0.003464192803938726,1.0034762351527395
2577,Avram Iancu,0.48329447444158524,0.18725874307854662,1.2304038849803882
2915,Oras Baia De Aries,0.04574290615921079,0.010035163905653066,1.010136889250778
2988,Berghin,0.42407279247694063,0.12345399303162896,1.1408414299422889
3039,Bistra,0.05073077002610703,0.011345217281351738,1.0114754082817
3397,Blandiana,0.131225550204339,0.03574234346870009,1.0370672125096472
3459,Bucium,-0.0,0.0,1.0
3761,Cenade,0.7442780873164209,0.2616143289466084,1.3543058041380809
3805,Cergau,0.5472264518883158,0.2207092416857359,1.2832180920035121
3841,Ceru-Bacainti,-0.0,0.0,1.0
3958,Cetatea De Balta,1.5124327009745202,0.6217790043683864,2.6439568705857828
4008,Ciuruleasa,-0.0,0.0,1.0
4106,Calnic,0.843585866331831,0.38384213991607785,1.6229607131260122
4142,Cricau,0.1360450646240397,0.03426218412553106,1.035477728595009
4188,Craciunelu De Jos,0.26359427580708356,0.07452342484288477,1.0805243772163906
4240,Daia Romana,0.026025941842720397,0.0051755658997880705,1.0052024917386244
4268,Dostat,0.16808857115922896,0.048544348869024034,1.0510211367301465
4302,Farau,1.028902745131353,0.4208525941844655,1.7266761276290896
4366,Galda De Jos,0.39042545137090734,0.13363039458556192,1.1542417852039468
4482,Garbova,0.5697884961444414,0.190050629544268,1.2346450734782752
4525,Garda De Sus,-0.0,0.0,1.0
4703,Hoparta,0.7385397216440855,0.30602020661143225,1.440964145536854
