Regiune,Shannon,Simpsone,Inverse Simpson
Bucuresti-Ilfov,0.2678313939478141,0.061112402848260805,1.0650902227632517
Centru,1.192092145789526,0.491866715641048,1.9679875945571534
Nord-Est,0.21283857292411093,0.04943677022802018,1.0520078714173269
Nord-Vest,1.1170857672180428,0.4021799653775955,1.6727442074296166
Sud,0.2728064637521155,0.08235834440569989,1.0897500063381076
Sud-Est,0.43214775316310033,0.10940041001074996,1.1228390527465553
Sud-Vest,0.23148290632156018,0.06633642637648107,1.0710496031445582
Vest,0.808072450071337,0.2169266955254875,1.2770196535700549
