,RM_Adulti,RM_Barbati,RM_femei,RM_cancer,RM_cardio,RM_vatamari,RM5_boli_diareice,RM5_HIV,RM5_vatamari,RM5_malaria,RM5_pojar,RM5_neonatal,RM5_pneumonie,SV,Tuberculoza,Polio
Afghanistan,2.074742310982413,2.0296670161045762,1.9928458703580243,0.7019054860665171,2.402689921218803,1.0399467269853233,1.31488030221551,-0.330365280747141,-1.052039607529311,-0.3850799848921753,2.1996652671495145,-1.2039393979972246,1.7523293958095159,-1.9404924054500865,0.43449409563883495,0.3941923243255174
Albania,-0.6179573140747632,-0.5812663303517492,-0.6401181433243965,0.7339705297973722,1.187776501618544,-0.3377868976474326,0.22588017371282337,-0.36315051380908087,-0.18072885487015392,-0.4603386058726701,-0.594615534853722,0.6719078542965379,-0.08235851430506058,0.32943685374250603,-0.7264929944050605,-0.12048805977231372
Algeria,-0.5870954272546236,-0.4409773744227527,-0.6991201380287645,-0.9013467004762339,-0.41533410530960874,0.07553318974239415,0.3620051897756592,-0.36315051380908087,-0.022308718023034527,-0.447795502375921,-0.20919749319810324,0.3359352120946701,0.3181719449453046,0.32943685374250603,-0.5805765841809644,-0.07369893394523817
Andorra,-1.1040320314919612,-1.0878653378731258,-1.0900083529452025,-0.16385069466656843,-1.7740242609572359,-0.9872898921171603,0.0,9.706378830151352e-17,0.0,-1.114051384187776e-16,0.0,-4.973394173555511e-16,-4.590225939854901e-16,1.3282057277872468,-0.7455255696516818,-0.12048805977231372
Angola,1.9590102354068897,1.928347214600301,1.9264686263156103,1.5355966230687477,0.8211458246977557,2.949091892547856,1.31488030221551,-0.12272547135485509,-0.9728295391057514,0.5305665703705116,1.6697154598730386,-1.46991773974037,1.7523293958095159,-2.2128839165531975,0.707294340840406,-0.07369893394523817
Antigua and Barbuda,-0.5022252384992398,-0.44877120530769693,-0.5221141539156606,0.41332009248882196,-0.2068578380409252,-0.90856225642386,-0.9447949644275646,-0.2538664036026146,-0.7087959776938856,-0.5105110198596666,-0.6427927900606745,-1.2529354083183304,-1.2581092172658102,0.4202340241102097,-0.8470326376336618,-0.12048805977231372
Argentina,-0.7182584462402167,-0.7449367789355786,-0.6696191406765806,0.3491900050271119,-1.1485954591511853,-0.5739698047273336,-1.094532482096684,-0.34129369176778757,0.6905818977890031,-0.5105110198596666,-0.6427927900606745,0.9308867659938113,-1.0126228067575216,0.6926255352133208,-0.5742323924320907,-0.12048805977231372
Armenia,-0.5562335404344841,-0.6592046392011918,-0.3746091671547407,0.477450179950532,0.9074118663261764,-0.8298346207305597,0.22588017371282337,-0.34129369176778757,0.18891813110645805,-0.447795502375921,-0.594615534853722,0.363932932278159,0.07268553443701642,0.32943685374250603,-0.43466017395686823,-0.12048805977231372
Australia,-1.18118674854231,-1.033308521678516,-1.2743895863963524,-0.13178565093571343,-1.66619170892171,-0.90856225642386,-1.2578825013720871,-0.36315051380908087,1.4562792258834139,-0.5105110198596666,-0.6427927900606745,0.8678918955809611,-1.2968702294513295,1.4190028981549505,-0.8470326376336618,-0.12048805977231372
Austria,-1.0345927861466473,-0.970957874598962,-1.0605073555930185,-0.13178565093571343,-1.2061061535701325,-0.8495165296538848,-1.2714950029783705,-0.36315051380908087,0.8754053907773093,-0.5105110198596666,-0.6427927900606745,0.89588961576445,-1.3614719164271947,1.237408557419543,-0.7962791036426717,-0.12048805977231372
